User ID,User ID,Communication Frequency
23076978,26920404,40
12078212,78144321,23
382158300,57451819,20
33103139,421541220,19
463494815,68244959,19
207695509,346346134,19
221975824,87291471,18
72856481,73765064,16
26890813,39267537,15
183096179,32715892,15
276535182,427464965,13
40133413,765846228,12
320341743,425513164,12
157645227,184897504,12
132437541,31651941,12
284851512,524565807,12
174939092,851950184,12
15753498,303630547,12
1035191,73254800,12
289100379,47332084,11
515106364,616158819,11
217668153,225482240,11
54437424,567794775,10
48815641,69352359,10
201141236,518766591,10
334381784,511180285,10
23674971,79620777,10
255091030,582039260,10
299162176,573008064,9
365658886,44287640,9
491111374,526076196,9
161643696,65538155,9
152011304,213495921,9
233065073,285384436,9
548230140,765977226,9
468686583,9626672,9
133959709,40114941,9
17809711,63234140,9
420076021,479270769,8
280695663,284851512,8
28569010,58913244,8
117987103,291238569,8
156203856,293335942,8
12078212,223398112,8
556195184,556280301,8
103398308,243464570,8
342456012,387375711,7
555740499,74211907,7
352761100,505967998,7
346346134,519201902,7
209151977,84618008,7
191998968,316202078,7
242866516,421990736,7
346346134,54437424,7
255091030,257663121,6
16323833,17332562,6
208295743,65538155,6
787169,88805294,6
14274613,16863888,6
23553717,30370626,6
176811116,188415757,6
124344615,422886170,6
23000774,760765465,6
45368709,73254800,6
227258387,290125649,6
14783740,15783047,6
344756520,35238492,6
109069065,119743037,6
23377856,7172432,6
109268923,118491811,6
222653853,232375375,6
13215312,63234140,6
195285559,25661346,5
15085830,74211907,5
282629409,30744121,5
22812487,31651941,5
20825718,44818309,5
34425233,35470632,5
178145076,551613778,5
233655439,57004521,5
65682128,7482,5
16132160,65538155,5
67669562,71194043,5
112835541,16226911,5
150239574,424413675,5
11132702,385102134,5
153988612,26538312,5
171201674,387637867,5
508330611,62180598,5
247776116,896317754,5
380301569,400352252,5
706798207,868586881,5
17469984,24792022,5
16195105,87233392,5
14397792,7482,5
132251834,18129188,5
185249493,19979351,5
165264078,166795740,5
389770680,591716406,5
11054172,206415334,5
109069065,9743782,5
379289684,94892347,5
14848078,34109390,5
78488987,794374830,5
24128194,77810182,5
281016824,463494815,5
31201099,63234140,5
271555908,284851512,5
115724600,549723985,4
173636265,468902800,4
331299957,375659916,4
26598458,84158113,4
17932277,317388866,4
465243107,569467476,4
14779623,6001992,4
14143533,16226911,4
50973113,787169,4
260879761,41980164,4
21275834,81620992,4
270612700,304777077,4
18967947,65538155,4
110508334,45193878,4
23331708,63234140,4
17693443,6427712,4
269376416,320341743,4
184903851,246471055,4
195341728,42320552,4
239138010,523531932,4
283146329,381178996,4
143626596,40584925,4
161643696,208295743,4
25060642,26135554,4
126716326,138938417,4
12793062,15353172,4
425513164,574103578,4
226780393,84723809,4
246068113,439434461,4
25239681,38187360,4
305765428,636626660,4
25836211,92447972,4
106748049,14211947,4
17862147,22640393,4
210115654,26837589,4
251809265,463552837,4
314019051,54340169,4
391013671,51882164,4
584293831,86721588,4
14678993,39267537,4
114365040,463494815,4
13934642,17545663,4
241978195,85428553,4
21418081,266249610,4
491561098,705539010,4
192710642,391855840,4
140112449,14365673,4
143697166,60145407,4
39267537,73254800,4
18813840,52544275,4
19057138,196417067,4
222382885,261523661,4
134157064,455494077,4
